"Two Factor Authentication", "Tweeledige Authenticatiemethode"
"Use Google Authenticator","Gebruik de Google Authenticator app"
"<small>When using the Two Factor Authentication, a 6-digit code needs to be entered in addition to username and password during login. Two Factor Authentication Google provides the Authenticator app for Android, BlackBerry and iOS.</small>", "<small>Wanneer gebruik gemaakt wordt van de Tweeledige Authenticatiemethode, moet er naast de gebruikersnaam en het wachtwoord ook een code van 6 cijfers worden ingevoerd. De Google Authenticator app is beschikbaar voor Android, Blackberry en iOS platformen.</small>"
"Re-enter admin password","Geef opnieuw het wachtwoord op"
"Resource Id","Permissie context ID"
"Add Protected Resource","Voeg een permissie context toe"
"Force security code on next login","Verplicht invoeren van de cijfercode bij de eerstvolgende login"
"Are you sure you want to force security code on next login?","Weet u zeker dat u de cijfercode wilt verplichten bij de eerstvolgende login?"
"Reset authentication completely","Authenticatie instellingen terugzetten naar standaardwaarden."
"Are you sure you want to reset authentication completely?","Weet u zeker dat u de authenticatie instellingen wilt terugzetten naar standaardwaarden?"
"Two-Factor Authentication Setup","Instellingen Tweeledige Authenticatiemethode."
"Invalid security code.","De ingevulde code is ongeldig."
"Security code will be required on next login.","Het invoeren van een cijfercode zal verplicht zijn bij de eerstvolgende inlogpoging."
"An error occurred while forcing security code on next login.","Er is een fout opgetreden bij het verplichten van de cijfercode voor de eerstvolgende inlog poging."
"Unknown question.","Onbekende vraag."
"Please enter your answer to the secret question.","Antwoord op de geheime vraag."
"Cannot load the secret question.","De geheime vraag kan niet worden geladen."
"Answer to the secret question is invalid.","Het antwoord op de geheime vraag is niet correct."
"The last one-time question was used. Please generate new secret questions.","Er zijn geen geheime vragen meer beschikbaar. Deze worden eenmalig gebruikt. Maak nieuwe vragen aan."
"An error occurred while saving the security code.","Er is een fout opgetreden tijdens het opslaan van de cijfercode."
"Invalid security code.","Ongeldige cijfercode."
"Secret questions with empty question or answer cannot be saved.","Geheime vragen of antwoorden daarop zonder inhoud worden niet geaccepteerd."
"At least one secret question is required.","Er is minimaal 1 geheime vraag verplicht."
"The secret questions have been saved.","De geheime vraag is opgeslagen."
"An error occurred while saving the secret questions.","Tijdens het opslaan van de geheime vragen is een fout opgetreden."
"Two-Factor Authentication is not configured so cannot be reset.","Niks geconfigureerd. Authenticatie instellingen staan reeds op standaardwaarden."
"Two-Factor Authentication has been reset.","De instellingen voor de Tweeledige Authenticatie zijn teruggezet naar standaardwaarden."
"An unexpected error occurred while resetting the Two-Factor Authentication.","Een uitzonderlijke situatie is opgetreden tijdens het terugzetten van de standaardwaarden."
"The secret code you entered was invalid.","Der eingegebene Bestätigungscode ist ungültig."
"The subscription has been saved.","Het"
"The subscription has been removed.","The subscription has been removed."
"An error occurred while saving your settings.","Kan uw instellingen niet opslaan."
"The secret code you entered was invalid. Please try again.","De cijfercode is ongeldig. Probeer het nog een keer."
"abort","geef het op"
"Enable Two Factor Authentication","Tweeledige Authenticatie inschakelen."
"Force Two Factor Authentication for all backend users","Verplicht Tweeledige Authenticatie voor alle backend gebruikers."
"Require Two Factor Authentication for all backend users regardless of their permissions.","Verplicht Tweeledige Authenticatie voor alle backend gebruikers, ongeacht hun bevoegdheden."
"Enable Two Factor Authenticator for customers","Mogelijkheid voor het gebruik van Tweeledige Authenticatie inschakelen voor klanten."
"Please enter Google Authenticator verification code","Geef de cijfercode op die de Google Authenticator laat zien voor deze site."
"Security Code","Cijfercode"
"Use a One Time Security Question","Gebruik een geheime vraag (wordt verwijderd na gebruik)"
"Submit Code","Code versturen"
"Two-Factor Authentication Setup","Tweeledige Authenticatie instellingen"
"Reset Two-Factor Authentication","Standaardinstellingen van Tweeledige Authenticatie terugzetten."
"QR Code","QR Code"
"Enter key manually","Geef de cijfercode handmatig in."
"Account Name: %s","Inlognaam: %s"
"Key: ","Cijfercode: "
"Type: Time-based","Type: periodieke vernieuwing"
"Scan the QR code into Google Authenticator, then enter the code here and click save.","Scan de QR code met de Google Authenticator app, geef vervolgens de cijfercode hier in en klik op <em>Opslaan</em>."
"Do not require 2-Factor-Authentication on this computer in the future. (Do not use this feature on public computers.)","Auf diesem Computer wird zukünftig keine Zwei-Faktor-Authentifizierung benötigt (<strong>nicht</strong> für öffentliche Computer empfohlen)."
"Two-Factor Authentication protects your account from unauthorized access by requiring a second authentication method. In this case the second method is a Time-based One Time Password (TOTP).","Zwei-Faktor-Authentifizierung schützt Ihr Benutzerkonto vor unbefugten Zugriff durch eine zweite Authentifizierungsmethode. In diesem Fall ist die zweite Authentifizierungsmethode ein zeitbasiertes Einmalkennwort (Time-based One Time Password - TOTP)."
"Google Authenticator is a general-purpose app which provides TOTP codes. It does not require a Google account, but does require a compatible device. Other TOTP applications compatible with Google Authenticator should work as well.","Google Authenticator ist eine allgemein verwendbare App, die diese Einmalkennwörter bereitstellt."
"After the initial setup is complete you will need to use the app to enter the 6-digit TOTP when authenticating on unrecognized computers.","Nach der initialen Einrichtung wird die Authenticator App benötigt, um beim Login von unbekannten Computern einen 6stelliges Einmalkennwort einzugeben."
"Choosing <em>Remember Me</em> will set a cookie which will prevent you from having to enter the TOTP again on this device/browser, but authenticating on other devices/browsers will still require the TOTP.","Bei der Wahl von <em>Angemeldet bleiben</em> wird ein Cookie gespeichert, welches verhindert, dass in diesem Gerät/Browser weiterhin Einmalkennwörter eingegeben werden müssen. Authentifizierung von anderen Geräten/Browsern werden weiterhin Einmalkennwörter benötigen."
"After the initial setup is complete you will need to use the app to enter the 6-digit TOTP when authenticating on unrecognized computers.","Nachdem die Einrichtung abgeschlossen wurde, muss die App Google Authenticator benutzt werden, um auf unbekannten Computern ein 6stelliges Einmalkennwort einzugeben."
"Install Google Authenticator or a similar app if you have not done so already.","Installieren Sie die Google Authenticator App oder eine ähnliche App, sollten Sie dies noch nicht getan haben."
"Choose <em>Set up account</em> (or equivalent) and either scan the barcode above or click <em>Enter key manually</em> to display a key which may be entered using the keyboard.","Erstellen Sie in der App ein neues Konto (bspw. Menü -> Konto einrichten -> Barcode scannen) und scannen Sie den Barcode oben ein. Alternativ wählen Sie <em>Code manuell eingeben</em> um einen Code zu generieren, den Sie über Ihre Tastatur eingeben können."
"Enter the 6-digit TOTP code for the newly added account above and click <em>Save</em>.","Geben Sie das 6stellige Einmalkennwort für das neu erstellte Konto ein und klicken Sie auf <em>Speichern</em>."
"Note: This additional level of security does not replace the need for a strong and secret password and proper precautions to keep your account credentials secure should always be taken seriously.","Hinweis: Diese zusätzliche Ebene von Sicherheit ersetzt nicht die Notwendigkeit eines starken und sicheren Passwortes. Entsprechende Vorsichtsmaßnahmen, um Ihre Anmeldeinformationen zu sichern, sollten immer ernst genommen werden."
"Single-Use Backup Questions","Einweg-Sicherheitsfragen"
"What is this?","Was ist das?"
"In the case that your TOTP app (e.g. Google Authenticator) becomes inoperable or is inaccessible you may use a secret question/answer pair to bypass the TOTP.","In dem Fall, dass Ihre App für die Einmalkennwörter (bspw. Google Authenticator) nicht (mehr) zur Verfügung steht oder es Ihnen nicht möglich ist, diese zu nutzen, benötigen Sie eine Sicherheitsfrage &amp; -antwort, um das Einmalkennwort zu ersetzen."
"Use only very secure questions and answers, or generate random answers and store them in a secure location and do not store them alongside your full account credentials.","Benutzen Sie nur sehr sichere Fragen und Antworten. Alternativ generieren Sie zufällige Antworten und bewahren diese an einem sicheren Ort auf. Speichern Sie diese auf keinem Fall bei den Zugangsdaten zu Ihrem Benutzerkonto."
"The Answer to the Question will never be stored or displayed in plain-text.","Die Antwort zu der Frage wird nie im Klartext angezeigt und verschlüsselt gespeichert."
"Please enter your answer","Bitte geben Sie Ihre Antwort ein."
"Question:","Frage:"
"Answer:","Antwort:"
"Answer","Antwort"
"Back to Login","Zurück zum Login"
"Submit Answer","Antwort absenden"
"Question","Frage"
"Generate random question/answer","Erstelle zufällige Frage/Antwort"
"Maximum length for the questions and answers is 100 symbols. At least one secret question is required.","Die maximale Länge für Fragen und Antworten beträgt jeweils 100 Zeichen. Mindestens eine Sicherheitsfrage wird benötigt."
"One Time Secret Question should be recorded somewhere for safe-keeping.","Einweg-Sicherheitsfragen sollten sicher aufbewahrt werden."
"Please enter Google Authenticator verification code","Bitte geben Sie Ihren Bestätigungscode (bspw. aus Google Authenticator App) ein."
"Code:","Einmalkennwort:"
"Verify Code","Einmalkennwort überprüfen"
"To configure a 2fa app, simply scan the QR code below and enter the code below.","Um die App für die Zwei-Faktor-Authentifizierung zu konnfigurieren, scannen Sie einfach folgenden QR-Code ein und geben Sie den Code ein, den Sie darauf erhalten."
"You have been logged out.","Sie wurden abgemeldet."
"Reset user authentication","Authentifizierung für Benutzer zurücksetzen"
"Submit Password","Passwort übermitteln"
"The password was successfully verified.","Das Passwort wurde erfolgreich überprüft"
"Customer not found","Der Kunde konnte nicht gefunden werden"
"Token resetted", "Token zurückgesetzt"
"Error while saving Customer: %s","Während des Speichern des Kunden ist ein Fehler aufgetreten: %s"
"Reset customer authentication","Authentifizierung wurde für Kunden zurückgesetzt"
